ApplicantIncome,A15,Married,Property_Area,Education,A7,TotalIncome,DTI,LoanAmount,CoapplicantIncome,Loan_Status,split
,3659.0,,,,18.0,,,,,1.0,train
,2719.0,,,,13.0,,,,,0.0,train
,18782.0,,,,0.0,,,,,1.0,train
2698.0,,Yes,Semiurban,Graduate,,4732.0,0.025776463131206424,122.0,2034.0,1.0,train
3652.0,,No,Semiurban,Graduate,,3652.0,0.026006022447303587,95.0,0.0,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
4000.0,,Yes,Semiurban,Graduate,,11750.0,0.024678750744617478,290.0,7750.0,0.0,train
,3659.0,,,,18.0,,,,,1.0,train
14866.0,,Yes,Urban,Graduate,,14866.0,0.004708414609537903,70.0,0.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,2212.0,,,,6.0,,,,,0.0,train
,2616.0,,,,4.0,,,,,1.0,train
3900.0,,Yes,Semiurban,Graduate,,3900.0,0.023071007433991285,90.0,0.0,1.0,train
3865.0,,No,Rural,Graduate,,5505.0,,,1640.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
4735.0,,Yes,Urban,Not Graduate,,4735.0,0.029138513513513514,138.0,0.0,0.0,train
,4340.0,,,,7.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
2679.0,,No,Semiurban,Not Graduate,,3981.0,0.023606228026117528,94.0,1302.0,1.0,train
,2824.0,,,,4.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
4009.0,,Yes,Semiurban,Graduate,,5726.0,0.020254932774576566,116.0,1717.0,1.0,train
2873.0,,Yes,Semiurban,Graduate,,4745.0,0.02781289506953224,132.0,1872.0,0.0,train
,3659.0,,,,18.0,,,,,1.0,train
4006.0,,Yes,Urban,Graduate,,5532.0,0.030363274896078075,168.0,1526.0,1.0,train
4180.0,,Yes,Semiurban,Graduate,,6486.0,0.028056112224448898,182.0,2306.0,1.0,train
5667.0,,Yes,Rural,Graduate,,8334.0,0.021595680863827234,180.0,2667.0,1.0,train
4300.0,,Yes,Rural,Not Graduate,,6314.0,0.030720506730007917,194.0,2014.0,1.0,train
5819.0,,Yes,Rural,Graduate,,10819.0,0.011090573012939002,120.0,5000.0,1.0,train
5000.0,,No,Rural,Graduate,,7541.0,0.02002121453195439,151.0,2541.0,0.0,train
,3729.0,,,,20.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
3510.0,,No,Urban,Graduate,,3510.0,0.02164625462831102,76.0,0.0,0.0,train
,2824.0,,,,4.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,1660.0,,,,5.0,,,,,1.0,train
,85677.0,,,,0.0,,,,,1.0,train
3427.0,,No,Urban,Graduate,,3427.0,0.040256709451575265,138.0,0.0,0.0,train
6033.0,,Yes,Urban,Not Graduate,,6033.0,0.026516407026847863,160.0,0.0,0.0,train
,2616.0,,,,4.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,2824.0,,,,4.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
7948.0,,Yes,Rural,Graduate,,15114.0,0.03175653324512074,480.0,7166.0,1.0,train
,2719.0,,,,13.0,,,,,0.0,train
2900.0,,No,Rural,Graduate,,2900.0,0.024474319200275766,71.0,0.0,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,2719.0,,,,13.0,,,,,0.0,train
,3729.0,,,,20.0,,,,,1.0,train
7250.0,,Yes,Urban,Graduate,,8917.0,0.012334604171338866,110.0,1667.0,0.0,train
3902.0,,No,Rural,Not Graduate,,5568.0,0.019572634225175075,109.0,1666.0,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
4695.0,,Yes,Urban,Not Graduate,,4695.0,0.020442930153321975,96.0,0.0,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
3155.0,,Yes,Semiurban,Graduate,,4934.0,0.028368794326241134,140.0,1779.0,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
,1660.0,,,,5.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
2500.0,,No,Urban,Graduate,,2500.0,0.026789284286285485,67.0,0.0,1.0,train
,18782.0,,,,0.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
10750.0,,Yes,Urban,Graduate,,10750.0,0.02902055622732769,312.0,0.0,1.0,train
3572.0,,Yes,Rural,Not Graduate,,7686.0,0.01977364381423182,152.0,4114.0,0.0,train
,2616.0,,,,4.0,,,,,1.0,train
3029.0,,Yes,Urban,Graduate,,3029.0,0.032673267326732675,99.0,0.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,2719.0,,,,13.0,,,,,0.0,train
3167.0,,Yes,Semiurban,Graduate,,7167.0,0.025111607142857144,180.0,4000.0,0.0,train
,2616.0,,,,4.0,,,,,1.0,train
6417.0,,Yes,Rural,Graduate,,6417.0,0.024462449361171704,157.0,0.0,1.0,train
4166.0,,No,Semiurban,Graduate,,4166.0,0.02351811855051596,98.0,0.0,0.0,train
2510.0,,Yes,Urban,Not Graduate,,4493.0,0.03115264797507788,140.0,1983.0,0.0,train
13262.0,,No,Urban,Graduate,,13262.0,0.0030159089195506295,40.0,0.0,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
,2824.0,,,,4.0,,,,,1.0,train
4350.0,,No,Rural,Not Graduate,,4350.0,0.03539416226154907,154.0,0.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
12841.0,,Yes,Semiurban,Graduate,,23809.0,0.014657706845863082,349.0,10968.0,0.0,train
,3659.0,,,,18.0,,,,,1.0,train
1916.0,,No,Rural,Graduate,,6979.0,0.009598853868194842,67.0,5063.0,0.0,train
,1328.0,,,,3.0,,,,,1.0,train
7740.0,,Yes,Urban,Graduate,,7740.0,0.016535331352538433,128.0,0.0,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
8799.0,,Yes,Urban,Graduate,,8799.0,0.02931818181818182,258.0,0.0,0.0,train
,4340.0,,,,7.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
,18782.0,,,,0.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
5250.0,,Yes,Urban,Graduate,,5250.0,0.017901352123405066,94.0,0.0,0.0,train
5829.0,,Yes,Rural,Graduate,,5829.0,0.023670668953687822,138.0,0.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
3069.0,,No,Urban,Graduate,,3069.0,0.023127035830618894,71.0,0.0,0.0,train
,6604.0,,,,10.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
2192.0,,Yes,Semiurban,Not Graduate,,3934.0,0.011435832274459974,45.0,1742.0,1.0,train
9504.0,,Yes,Rural,Graduate,,9504.0,0.028932140978432403,275.0,0.0,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
2927.0,,No,Semiurban,Not Graduate,,5332.0,0.02081380086255391,111.0,2405.0,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
5695.0,,Yes,Semiurban,Graduate,,9862.0,0.017743080198722498,175.0,4167.0,1.0,train
19484.0,,Yes,Semiurban,Graduate,,19484.0,0.030792917628945343,600.0,0.0,1.0,train
,2719.0,,,,13.0,,,,,0.0,train
1538.0,,Yes,Urban,Graduate,,2963.0,0.010121457489878543,30.0,1425.0,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
2383.0,,Yes,Rural,Graduate,,4521.0,0.012826183104820876,58.0,2138.0,1.0,train
4000.0,,No,Semiurban,Graduate,,6275.0,0.022944550669216062,144.0,2275.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
6125.0,,Yes,Semiurban,Not Graduate,,7750.0,0.024125919236227585,187.0,1625.0,0.0,train
,6604.0,,,,10.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
,2824.0,,,,4.0,,,,,1.0,train
5746.0,,Yes,Rural,Graduate,,5746.0,0.02505655124412737,144.0,0.0,1.0,train
,1879.0,,,,4.0,,,,,1.0,train
1836.0,,No,Urban,Graduate,,35673.0,0.0025228457700285922,90.0,33837.0,0.0,train
3917.0,,Yes,Semiurban,Not Graduate,,3917.0,0.03164880040837162,124.0,0.0,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,2824.0,,,,4.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
3667.0,,No,Urban,Graduate,,3667.0,0.030806979280261722,113.0,0.0,1.0,train
2000.0,,No,Urban,Not Graduate,,2000.0,,,0.0,0.0,train
,2616.0,,,,4.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
13650.0,,Yes,Urban,Graduate,,13650.0,,,0.0,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,2080.0,,,,6.0,,,,,1.0,train
1800.0,,Yes,Urban,Not Graduate,,4734.0,0.019640971488912355,93.0,2934.0,0.0,train
,1328.0,,,,3.0,,,,,1.0,train
8300.0,,Yes,Semiurban,Graduate,,8300.0,0.018311046861823877,152.0,0.0,0.0,train
5923.0,,Yes,Rural,Graduate,,7977.0,0.026447731260967663,211.0,2054.0,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
3125.0,,Yes,Semiurban,Graduate,,5708.0,0.02977754422841128,170.0,2583.0,0.0,train
3481.0,,No,Semiurban,Graduate,,3481.0,0.04451464675473866,155.0,0.0,0.0,train
,6604.0,,,,10.0,,,,,1.0,train
,2080.0,,,,6.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
9328.0,,Yes,Rural,Graduate,,9328.0,0.020152213527709295,188.0,0.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
1809.0,,Yes,Urban,Graduate,,3677.0,0.024469820554649267,90.0,1868.0,1.0,train
3660.0,,No,Semiurban,Graduate,,8724.0,0.021432664756446992,187.0,5064.0,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
2750.0,,Yes,Semiurban,Graduate,,4592.0,0.025038101458741562,115.0,1842.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
2383.0,,Yes,Semiurban,Graduate,,5717.0,0.030080447708989155,172.0,3334.0,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
6216.0,,No,Rural,Not Graduate,,6216.0,0.021392954801351134,133.0,0.0,0.0,train
9323.0,,Yes,Rural,Graduate,,17196.0,0.02209687736233064,380.0,7873.0,1.0,train
,1879.0,,,,4.0,,,,,1.0,train
7933.0,,Yes,Urban,Graduate,,7933.0,0.034660952861104107,275.0,0.0,0.0,train
4566.0,,Yes,Urban,Graduate,,4566.0,0.02189621195533173,100.0,0.0,0.0,train
4554.0,,Yes,Urban,Not Graduate,,5783.0,0.02731673582295989,158.0,1229.0,1.0,train
4680.0,,No,Semiurban,Graduate,,6767.0,,,2087.0,0.0,train
,2824.0,,,,4.0,,,,,1.0,train
1926.0,,No,Semiurban,Graduate,,3777.0,0.013234515616728428,50.0,1851.0,1.0,train
2500.0,,No,Urban,Graduate,,2500.0,0.03718512594962015,93.0,0.0,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,2212.0,,,,6.0,,,,,0.0,train
6000.0,,No,Urban,Graduate,,6000.0,0.023496083986002333,141.0,0.0,1.0,train
3588.0,,No,Rural,Graduate,,3588.0,0.030649205906937867,110.0,0.0,0.0,train
,2616.0,,,,4.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
1820.0,,Yes,Rural,Not Graduate,,3589.0,0.026462395543175487,95.0,1769.0,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
6000.0,,Yes,Semiurban,Graduate,,6000.0,0.03416097317113814,205.0,0.0,0.0,train
8072.0,,Yes,Urban,Graduate,,8312.0,0.030434259593407915,253.0,240.0,1.0,train
,18721.0,,,,0.0,,,,,1.0,train
5780.0,,Yes,Urban,Graduate,,5780.0,0.03321224701608718,192.0,0.0,1.0,train
3189.0,,No,Rural,Not Graduate,,5787.0,0.02073255010366275,120.0,2598.0,1.0,train
37719.0,,No,Semiurban,Graduate,,37719.0,0.004029692470837752,152.0,0.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
5488.0,,Yes,Rural,Graduate,,5488.0,0.02277281836400073,125.0,0.0,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
11757.0,,Yes,Urban,Graduate,,11757.0,0.01590406531723082,187.0,0.0,1.0,train
3547.0,,No,Rural,Graduate,,3547.0,0.02254791431792559,80.0,0.0,0.0,train
,2616.0,,,,4.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
4865.0,,Yes,Semiurban,Graduate,,10489.0,0.01982840800762631,208.0,5624.0,1.0,train
2507.0,,No,Rural,Graduate,,2507.0,0.022328548644338118,56.0,0.0,1.0,train
,1879.0,,,,4.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
7787.0,,Yes,Urban,Graduate,,7787.0,0.030816640986132512,240.0,0.0,1.0,train
9963.0,,Yes,Rural,Graduate,,9963.0,0.018065034122842234,180.0,0.0,1.0,train
5649.0,,Yes,Urban,Graduate,,5649.0,0.007787610619469027,44.0,0.0,1.0,train
6080.0,,Yes,Rural,Graduate,,8649.0,0.021040462427745665,182.0,2569.0,0.0,train
3667.0,,Yes,Semiurban,Graduate,,5126.0,0.028086600351082503,144.0,1459.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
3500.0,,No,Semiurban,Graduate,,3500.0,0.02313624678663239,81.0,0.0,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
3095.0,,Yes,Rural,Not Graduate,,3095.0,0.03649870801033592,113.0,0.0,1.0,train
1907.0,,No,Urban,Not Graduate,,4272.0,0.02808331383103206,120.0,2365.0,1.0,train
3541.0,,No,Semiurban,Graduate,,3541.0,0.03162055335968379,112.0,0.0,1.0,train
4400.0,,Yes,Semiurban,Graduate,,4400.0,0.028857077936832537,127.0,0.0,0.0,train
,1328.0,,,,3.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
2060.0,,No,Semiurban,Graduate,,4269.0,0.03138173302107728,134.0,2209.0,1.0,train
,2080.0,,,,6.0,,,,,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,3659.0,,,,18.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
6500.0,,No,Rural,Graduate,,6500.0,0.016151361329026302,105.0,0.0,0.0,train
,2616.0,,,,4.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,2080.0,,,,6.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,3659.0,,,,18.0,,,,,1.0,train
2600.0,,Yes,Rural,Not Graduate,,4300.0,0.02487793536386887,107.0,1700.0,1.0,train
,2824.0,,,,4.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
1875.0,,Yes,Semiurban,Not Graduate,,3750.0,0.025859770727805917,97.0,1875.0,1.0,train
4923.0,,No,Semiurban,Graduate,,4923.0,0.033712428919577576,166.0,0.0,1.0,train
12876.0,,No,Semiurban,Graduate,,12876.0,0.03145142502135591,405.0,0.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
6050.0,,No,Urban,Graduate,,10383.0,0.011556240369799691,120.0,4333.0,0.0,train
,3729.0,,,,20.0,,,,,1.0,train
,1660.0,,,,5.0,,,,,1.0,train
3850.0,,Yes,Semiurban,Not Graduate,,4833.0,0.02068680182043856,100.0,983.0,1.0,train
,18782.0,,,,0.0,,,,,1.0,train
3583.0,,No,Urban,Graduate,,3583.0,0.026785714285714284,96.0,0.0,0.0,train
,1562.0,,,,5.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
10047.0,,,Semiurban,Graduate,,10047.0,,,0.0,1.0,train
4191.0,,No,Rural,Graduate,,4191.0,0.02862595419847328,120.0,0.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
3522.0,,Yes,Rural,Not Graduate,,3522.0,0.022991768379222254,81.0,0.0,0.0,train
,1660.0,,,,5.0,,,,,1.0,train
,2212.0,,,,6.0,,,,,0.0,train
,3729.0,,,,20.0,,,,,1.0,train
3601.0,,Yes,Rural,Not Graduate,,5191.0,,,1590.0,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
2165.0,,No,Semiurban,Not Graduate,,2165.0,0.032317636195752536,70.0,0.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
5316.0,,No,Urban,Graduate,,5316.0,0.025578333646793305,136.0,0.0,1.0,train
11417.0,,Yes,Urban,Graduate,,12543.0,0.01793686224489796,225.0,1126.0,1.0,train
4652.0,,Yes,Rural,Not Graduate,,4652.0,0.02364066193853428,110.0,0.0,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
39147.0,,Yes,Semiurban,Graduate,,43897.0,0.0027336097316506447,120.0,4750.0,1.0,train
2071.0,,Yes,Semiurban,Not Graduate,,2825.0,0.03326256192498231,94.0,754.0,1.0,train
,2080.0,,,,6.0,,,,,1.0,train
,18782.0,,,,0.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,18782.0,,,,0.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,1660.0,,,,5.0,,,,,1.0,train
2500.0,,Yes,Rural,Graduate,,7100.0,0.024785241515279537,176.0,4600.0,1.0,train
,2719.0,,,,13.0,,,,,0.0,train
,1562.0,,,,5.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
10000.0,,No,Semiurban,Graduate,,10000.0,0.021397860213978603,214.0,0.0,0.0,train
,6604.0,,,,10.0,,,,,1.0,train
6608.0,,Yes,Urban,Not Graduate,,6608.0,0.02072930851868664,137.0,0.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
3399.0,,Yes,Urban,Not Graduate,,5039.0,0.022023809523809525,111.0,1640.0,1.0,train
6783.0,,No,Semiurban,Not Graduate,,6783.0,0.019162735849056603,130.0,0.0,1.0,train
2895.0,,Yes,Semiurban,Graduate,,2895.0,0.03280386740331492,95.0,0.0,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,2212.0,,,,6.0,,,,,0.0,train
8624.0,,No,Semiurban,Graduate,,8624.0,0.017391304347826087,150.0,0.0,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
2297.0,,Yes,Urban,Graduate,,3819.0,0.027225130890052355,104.0,1522.0,1.0,train
11250.0,,No,Semiurban,Graduate,,11250.0,0.017420673717891744,196.0,0.0,0.0,train
,6604.0,,,,10.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
